movies,url_page,synopsis,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection,tomato_rate,audience_rate,actors
De Gaulle,https://www.rottentomatoes.com/m/de_gaulle,,,,,,,,,,,,,,,,,,
The Laws of the Universe: The Age of Elohim,https://www.rottentomatoes.com/m/the_laws_of_the_universe_the_age_of_elohim,,,,,,,,,,,,,,,,,,
Circle of Bones,https://www.rottentomatoes.com/m/circle_of_bones,,,,,,,,,,,,,,,,,,
The Subject,https://www.rottentomatoes.com/m/the_subject_2021,,,,,,,,,,,,,,,,,,
Hypnotic,https://www.rottentomatoes.com/m/hypnotic,,,,,,,,,,,,,,,,,,
Artificial Gamer,https://www.rottentomatoes.com/m/artificial_gamer,,,,,,,,,,,,,,,,,,
Joy Ride,https://www.rottentomatoes.com/m/joy_ride_2021,,,,,,,,,,,,,,,,,,
Survive the Game,https://www.rottentomatoes.com/m/survive_the_game,,,,,,,,,,,,,,,,,,
A Mouthful of Air,https://www.rottentomatoes.com/m/a_mouthful_of_air,,,,,,,,,,,,,,,,,,
The Gig is Up,https://www.rottentomatoes.com/m/the_gig_is_up,,,,,,,,,,,,,,,,,,
Speer Goes to Hollywood,https://www.rottentomatoes.com/m/speer_goes_to_hollywood,,,,,,,,,,,,,,,,,,
The Secret of Sinchanee,https://www.rottentomatoes.com/m/the_secret_of_sinchanee,,,,,,,,,,,,,,,,,,
Violet,https://www.rottentomatoes.com/m/violet_2021,,,,,,,,,,,,,,,,,,
Suzanna Andler,https://www.rottentomatoes.com/m/suzanna_andler,,,,,,,,,,,,,,,,,,
Roh (Soul),https://www.rottentomatoes.com/m/roh,,,,,,,,,,,,,,,,,,
South of Heaven,https://www.rottentomatoes.com/m/south_of_heaven_2021,,,,,,,,,,,,,,,,,,
Fever Dream,https://www.rottentomatoes.com/m/fever_dream,,,,,,,,,,,,,,,,,,
The Rescue,https://www.rottentomatoes.com/m/the_rescue_2021,,,,,,,,,,,,,,,,,,
The Souvenir: Part II,https://www.rottentomatoes.com/m/the_souvenir_part_ii,,,,,,,,,,,,,,,,,,
Silent Hours,https://www.rottentomatoes.com/m/silent_hours,,,,,,,,,,,,,,,,,,
Keyboard Fantasies,https://www.rottentomatoes.com/m/keyboard_fantasies,,,,,,,,,,,,,,,,,,
Hell or High Seas,https://www.rottentomatoes.com/m/hell_or_high_seas,,,,,,,,,,,,,,,,,,
My Hero Academia: World Heroes' Mission,https://www.rottentomatoes.com/m/my_hero_academia_world_heroes_mission,,,,,,,,,,,,,,,,,,
Delphine's Prayers,https://www.rottentomatoes.com/m/delphines_prayers,,,,,,,,,,,,,,,,,,
How They Got Over,https://www.rottentomatoes.com/m/how_they_got_over,,,,,,,,,,,,,,,,,,
Iron Temple,https://www.rottentomatoes.com/m/iron_temple,,,,,,,,,,,,,,,,,,
The Spine of Night,https://www.rottentomatoes.com/m/the_spine_of_night,,,,,,,,,,,,,,,,,,
Vengeance Is Mine,https://www.rottentomatoes.com/m/vengeance_is_mine_2021,,,,,,,,,,,,,,,,,,
Only the Animals (Seules les bêtes),https://www.rottentomatoes.com/m/only_the_animals,,,,,,,,,,,,,,,,,,
Paranormal Activity: Next of Kin,https://www.rottentomatoes.com/m/paranormal_activity_next_of_kin,,,,,,,,,,,,,,,,,,
Jacinta,https://www.rottentomatoes.com/m/jacinta_2020,,,,,,,,,,,,,,,,,,
Cicada,https://www.rottentomatoes.com/m/cicada_2021,,,,,,,,,,,,,,,,,,
Handle with Care: The Legend of the Notic Streetball Crew,https://www.rottentomatoes.com/m/handle_with_care_the_legend_of_the_notic_streetball_crew,,,,,,,,,,,,,,,,,,
Flint: Who Can You Trust?,https://www.rottentomatoes.com/m/flint_who_can_you_trust,,,,,,,,,,,,,,,,,,
Christmas Collision,https://www.rottentomatoes.com/m/christmas_collision,,,,,,,,,,,,,,,,,,
Broken Darkness,https://www.rottentomatoes.com/m/broken_darkness,,,,,,,,,,,,,,,,,,
Pokémon the Movie: Secrets of the Jungle,https://www.rottentomatoes.com/m/pokemon_the_movie_secrets_of_the_jungle,,,,,,,,,,,,,,,,,,
Bulletproof,https://www.rottentomatoes.com/m/bulletproof,,,,,,,,,,,,,,,,,,
Hit the Road,https://www.rottentomatoes.com/m/hit_the_road_2021,,,,,,,,,,,,,,,,,,
Lamb,https://www.rottentomatoes.com/m/lamb_2021,,,,,,,,,,,,,,,,,,
13 Minutes,https://www.rottentomatoes.com/m/13_minutes_2021,,,,,,,,,,,,,,,,,,
Mass,https://www.rottentomatoes.com/m/mass_2021,,,,,,,,,,,,,,,,,,
Finding Kendrick Johnson,https://www.rottentomatoes.com/m/finding_kendrick_johnson,,,,,,,,,,,,,,,,,,
American Insurrection (The Volunteers),https://www.rottentomatoes.com/m/american_insurrection,,,,,,,,,,,,,,,,,,
Snakehead,https://www.rottentomatoes.com/m/snakehead,,,,,,,,,,,,,,,,,,
Golden Voices,https://www.rottentomatoes.com/m/golden_voices,,,,,,,,,,,,,,,,,,
Heart of Champions,https://www.rottentomatoes.com/m/heart_of_champions,,,,,,,,,,,,,,,,,,
Prism,https://www.rottentomatoes.com/m/prism,,,,,,,,,,,,,,,,,,
